ID,TIPO PRODUTO,QUANTIDADE (Kg),Nº ONU,Nº PERIGO,CLASSE,RAIO MINIMO,RAIO MAXIMO,RAIO INCENDIO,RISCO EXPLOSAO,OBSERVAÇÕES,ONU_NORM,ONU_LIMPEZA,CLASSE_NORM,CLASSE_LIMPEZA,CLASSE_DESC,PRODUTO_CANON
949,Peroxido de Hidrogenio em solucao aquosa,0.0,2014,58,5.1,50,,800,True,,2014,ok,5.1,ok,5.1 — Matérias comburentes,peroxido de hidrogenio em solucao aquosa
949,Peroxido de hidrogenio em solucao aquosa estabilizado,0.0,2015,559,5.1,50,,800,True,,2015,ok,5.1,ok,5.1 — Matérias comburentes,peroxido de hidrogenio em solucao aquosa estabilizado
949,Dioxido de carbono liquido refrigerado,0.0,2187,22,2.0,100,100.0,800,True,,2187,ok,2,recuperado major de '2.0' (provável Nº perigo na coluna),2 — Gases,dioxido de carbono liquido refrigerado
949,Acido fosforico em solucao,0.0,1805,80,8.0,50,,800,True,,1805,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,acido fosforico em solucao
950,Adesivos contendo um liquido inflamavel,4862.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
951,Alquifenois liquidos,0.0,3145,80,8.0,50,800.0,800,True,,3145,ok,8,recuperado major de '8.0' (provável Nº perigo na coluna),8 — Matérias corrosivas,alquifenois liquidos
952,Diisocianato de toluileno,21440.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
952,Diclorometano,15893.0,1593,60,6.1,50,100.0,800,True,,1593,ok,6.1,ok,6.1 — Matérias tóxicas,diclorometano
953,Extratos liquidos para aromatizar,14960.0,1197,33,3.0,50,300.0,800,True,,1197,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,extratos liquidos para aromatizar
954,Diisocianato de toluileno,21440.0,2078,60,6.1,50,,800,True,,2078,ok,6.1,ok,6.1 — Matérias tóxicas,diisocianato de toluileno
955,Materia perigosa do ponto de vista do ambiente liquida n.s.a,0.0,3082,90,9.0,50,,800,True,,3082,ok,9,recuperado major de '9.0' (provável Nº perigo na coluna),9 — Matérias e objetos perigosos diversos,materia perigosa do ponto de vista do ambiente liquida n.s.a
956,Adesivos contendo um liquido inflamavel,9750.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
957,Tintas ou materias aparentadas as tintas,12500.0,1263,33,3.0,50,300.0,800,True,,1263,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,tintas ou materias aparentadas as tintas
958,Adesivos contendo um liquido inflamavel,9750.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
959,Adesivos contendo um liquido inflamavel,9750.0,1133,33,3.0,50,300.0,800,True,,1133,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,adesivos contendo um liquido inflamavel
654,Diacetona-alcool,1628.0,1148,30 ou 33,3.0,50,300.0,800,True,,1148,ok,3,recuperado major de '3.0' (provável Nº perigo na coluna),3 — Líquidos inflamáveis,diacetona-alcool
